"Plot Title: FORCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685714, SEN S/N: 20685714, LBL: Temp)","Bad Battery (LGR S/N: 20685714)","End Of File (LGR S/N: 20685714)"
155,07/10/22 17:00:00,7.682,,
156,07/10/22 17:30:00,7.481,,
157,07/10/22 18:00:00,7.280,,
158,07/10/22 18:30:00,7.179,,
159,07/10/22 19:00:00,6.978,,
160,07/10/22 19:30:00,6.775,,
161,07/10/22 20:00:00,6.471,,
162,07/10/22 20:30:00,6.268,,
163,07/10/22 21:00:00,5.860,,
164,07/10/22 21:30:00,5.450,,
165,07/10/22 22:00:00,5.037,,
166,07/10/22 22:30:00,4.727,,
167,07/10/22 23:00:00,4.519,,
168,07/10/22 23:30:00,4.519,,
169,07/11/22 00:00:00,4.623,,
170,07/11/22 00:30:00,4.519,,
171,07/11/22 01:00:00,4.415,,
172,07/11/22 01:30:00,4.311,,
173,07/11/22 02:00:00,4.311,,
174,07/11/22 02:30:00,4.311,,
175,07/11/22 03:00:00,4.311,,
176,07/11/22 03:30:00,4.415,,
177,07/11/22 04:00:00,4.415,,
178,07/11/22 04:30:00,4.415,,
179,07/11/22 05:00:00,4.415,,
180,07/11/22 05:30:00,4.415,,
181,07/11/22 06:00:00,4.415,,
182,07/11/22 06:30:00,4.415,,
183,07/11/22 07:00:00,4.727,,
184,07/11/22 07:30:00,4.934,,
185,07/11/22 08:00:00,5.244,,
186,07/11/22 08:30:00,5.757,,
187,07/11/22 09:00:00,6.268,,
188,07/11/22 09:30:00,6.775,,
189,07/11/22 10:00:00,7.179,,
190,07/11/22 10:30:00,7.582,,
191,07/11/22 11:00:00,7.882,,
192,07/11/22 11:30:00,8.082,,
193,07/11/22 12:00:00,8.282,,
194,07/11/22 12:30:00,8.481,,
195,07/11/22 13:00:00,8.680,,
196,07/11/22 13:30:00,8.680,,
197,07/11/22 14:00:00,8.581,,
198,07/11/22 14:30:00,8.581,,
199,07/11/22 15:00:00,8.680,,
200,07/11/22 15:30:00,8.879,,
201,07/11/22 16:00:00,8.978,,
202,07/11/22 16:30:00,8.879,,
203,07/11/22 17:00:00,8.779,,
204,07/11/22 17:30:00,8.680,,
205,07/11/22 18:00:00,8.481,,
206,07/11/22 18:30:00,8.182,,
207,07/11/22 19:00:00,7.882,,
208,07/11/22 19:30:00,7.582,,
209,07/11/22 20:00:00,7.280,,
210,07/11/22 20:30:00,6.877,,
211,07/11/22 21:00:00,6.471,,
212,07/11/22 21:30:00,6.064,,
213,07/11/22 22:00:00,5.757,,
214,07/11/22 22:30:00,5.450,,
215,07/11/22 23:00:00,5.347,,
